gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,geometry,traffic_noise,railway_noise,airport_noise,heating_score
48353,2057,Raisteniškių g.,10A,Pašilaičiai,Vilnius,25.18642,54.74839,Raisteniškių g. 10A,POINT (25.18642 54.74839),0-34,0-34,35-39,
22063,211,K. Vanagėlio g.,13,Senamiestis,Vilnius,25.29474,54.67324,K. Vanagėlio g. 13,POINT (25.29474 54.67324),65-69,65-69,45-49,
22353,513,Srovės g.,6A,Rasos,Vilnius,25.31733,54.68223,Srovės g. 6A,POINT (25.31733 54.68223),65-69,40-44,55-59,
244310,3168,Vaišelgos g.,52A,Verkiai,Vilnius,25.29139,54.77895,Vaišelgos g. 52A,POINT (25.29139 54.77895),40-44,0-34,35-39,
273320,3347,Ganyklų g.,16,Paneriai,Vilnius,25.14241,54.61516,Ganyklų g. 16,POINT (25.14241 54.61516),0-34,45-49,0-34,
273320,3347,Ganyklų g.,14,Paneriai,Vilnius,25.1421,54.61503,Ganyklų g. 14,POINT (25.1421 54.61503),0-34,45-49,0-34,
51040,1930,Mykolo Lietuvio g.,14C,Fabijoniškės,Vilnius,25.22311,54.74762,Mykolo Lietuvio g. 14C,POINT (25.22311 54.74762),55-59,0-34,0-34,
22266,423,Plytinės g.,5,Antakalnis,Vilnius,25.34275,54.72575,Plytinės g. 5,POINT (25.34275 54.72575),45-49,0-34,50-54,
24714,762,Lauksargio g.,49B,Antakalnis,Vilnius,25.34851,54.73091,Lauksargio g. 49B,POINT (25.34851 54.73091),35-39,0-34,50-54,
59086,2546,Pavilnionių g.,55A,Pašilaičiai,Vilnius,25.21192,54.73799,Pavilnionių g. 55A,POINT (25.21192 54.73799),45-49,0-34,0-34,
50010,1701,Preilos g.,4,Pilaitė,Vilnius,25.17138,54.71147,Preilos g. 4,POINT (25.17138 54.71147),50-54,0-34,0-34,
50010,1701,Preilos g.,3,Pilaitė,Vilnius,25.17197,54.71146,Preilos g. 3,POINT (25.17197 54.71146),50-54,0-34,0-34,
50010,1701,Preilos g.,1,Pilaitė,Vilnius,25.17229,54.71108,Preilos g. 1,POINT (25.17229 54.71108),50-54,0-34,0-34,
50010,1701,Preilos g.,9,Pilaitė,Vilnius,25.17199,54.71272,Preilos g. 9,POINT (25.17199 54.71272),45-49,0-34,0-34,
50010,1701,Preilos g.,5,Pilaitė,Vilnius,25.17199,54.71192,Preilos g. 5,POINT (25.17199 54.71192),50-54,0-34,0-34,
241465,3148,Nalšios g.,19,Verkiai,Vilnius,25.27789,54.78741,Nalšios g. 19,POINT (25.27789 54.78741),60-64,0-34,35-39,
273320,3347,Ganyklų g.,10,Paneriai,Vilnius,25.14148,54.61478,Ganyklų g. 10,POINT (25.14148 54.61478),0-34,45-49,0-34,
273320,3347,Ganyklų g.,12,Paneriai,Vilnius,25.14179,54.61491,Ganyklų g. 12,POINT (25.14179 54.61491),0-34,45-49,0-34,
51040,1930,Mykolo Lietuvio g.,14B,Fabijoniškės,Vilnius,25.22258,54.74742,Mykolo Lietuvio g. 14B,POINT (25.22258 54.74742),60-64,0-34,0-34,
51040,1930,Mykolo Lietuvio g.,14A,Fabijoniškės,Vilnius,25.22201,54.74721,Mykolo Lietuvio g. 14A,POINT (25.22201 54.74721),60-64,0-34,0-34,
22269,427,Polocko g.,9D,Senamiestis,Vilnius,25.30287,54.68128,Polocko g. 9D,POINT (25.30287 54.68128),40-44,0-34,50-54,
267266,3279,Butauto g.,40,Verkiai,Vilnius,25.28737,54.78591,Butauto g. 40,POINT (25.28737 54.78591),45-49,0-34,35-39,
267266,3279,Butauto g.,42,Verkiai,Vilnius,25.28696,54.78588,Butauto g. 42,POINT (25.28696 54.78588),50-54,0-34,35-39,
267266,3279,Butauto g.,38,Verkiai,Vilnius,25.28768,54.78593,Butauto g. 38,POINT (25.28768 54.78593),45-49,0-34,35-39,
267266,3279,Butauto g.,36,Verkiai,Vilnius,25.28808,54.78596,Butauto g. 36,POINT (25.28808 54.78596),45-49,0-34,35-39,
267266,3279,Butauto g.,34,Verkiai,Vilnius,25.28839,54.78598,Butauto g. 34,POINT (25.28839 54.78598),45-49,0-34,35-39,
53206,2193,Juodvarnių Sodų 13-oji g.,1A,Antakalnis,Vilnius,25.38143,54.71729,Juodvarnių Sodų 13-oji g. 1A,POINT (25.38143 54.71729),0-34,0-34,40-44,
267266,3279,Butauto g.,32,Verkiai,Vilnius,25.2888,54.78599,Butauto g. 32,POINT (25.2888 54.78599),40-44,0-34,35-39,
22031,177,J. Bretkūno g.,46A,Pilaitė,Vilnius,25.17118,54.7159,J. Bretkūno g. 46A,POINT (25.17118 54.7159),40-44,0-34,0-34,
22031,177,J. Bretkūno g.,46,Pilaitė,Vilnius,25.17111,54.71595,J. Bretkūno g. 46,POINT (25.17111 54.71595),40-44,0-34,0-34,
22031,177,J. Bretkūno g.,48B,Pilaitė,Vilnius,25.17144,54.71603,J. Bretkūno g. 48B,POINT (25.17144 54.71603),40-44,0-34,0-34,
22031,177,J. Bretkūno g.,48,Pilaitė,Vilnius,25.17127,54.71587,J. Bretkūno g. 48,POINT (25.17127 54.71587),40-44,0-34,0-34,
