"id","name","short_name","code","address","phone","email","website","working_hours","x_coordinate","y_coordinate","wgs_longitude","wgs_latitude","institution_type"
1,"Vilniaus „Ateities“ mokykla","Ateities mokykla","190003666","S. Stanevičiaus g. 98","+37052478447","rastine@ateities.vilnius.lm.lt","www.ateities.lt","8.00-14.30","6066603","580657",,,"School_type_mainstream,School_type_playschool"
2,"Vilniaus ""Atgajos"" specialioji mokykla (specialioji mokykla)","Atgajos spec. mokykla","190981194","Viršuliškių g. 103","+37052416060","rastine@atgajos.vilnius.lm.lt",,,"6063808","579613",,,"School_type_special,School_type_playschool"
3,"Vilniaus „Atžalyno“ mokykla-darželis","Atžalyno","191665861","Genių g. 25","+370 5 267 1934","rastine@atzalyno.vilnius.lm.lt","www.atzalyno.vilnius.lm.lt","7.00-17.30","6062221","591842",,,"School_type_mainstream,School_type_playschool"
4,"Vilniaus „Aušros“ mokykla-darželis","Aušros","190032365","Medeinos g. 5","+370 5 247 0411","rastine@ausros.vilnius.lm.lt","https://ausros.lt/","7.00-19.00","6066482","578753",,,"School_type_mainstream,School_type_playschool"
5,"Vilniaus ""Ąžuolyno"" progimnazija","Ąžuolyno progimnazija","190006395","Architektų g. 68","+37052459885","rastine@azuolyno.vilnius.lm.lt","www.azuolynas.lt",,"6060192","577808",,,"School_type_mainstream,School_type_playschool"
6,"Vilniaus kunigaikščio Gedimino progimnazija","kunigaikščio Gedimino progimnazija","191665719","Lukiškių skg. 5, LT-01108 Vilnius","+370 684 61596","info@gediminoprogimnazija.lt","www.gediminoprogimnazija.lt",,,,,,"School_type_mainstream,School_type_playschool"
7,"Vilniaus ""Gijos"" jaunimo mokykla","Gijos jaunimo mokykla","290010850","Kauno g. 43","8 5 276 7430","rastine@gijos.vilnius.lm.lt","www.gijos.vilnius.lm.lt",,"6060128","581519",,,"School_type_adult"
8,"Vilniaus ""Juventos"" gimnazija","Juventos gimnazija","190008599","Telšių g. 2","8 5 269 5589","rastine@juventos.vilnius.lm.lt","www.juventos.vilnius.lm.lt",,"6059107","582323",,,"School_type_mainstream"
9,"Vilniaus ""Laisvės"" gimnazija","Laisvės gimnazija","190007682","Darželio g. 2","8 5 267 1406","rastine@laisves.vilnius.lm.lt","www.laisves.vilnius.lm.lt",,"6062425","591477",,,"School_type_mainstream"
10,"Vilniaus ""Minties"" gimnazija","Minties giimnazija","190005717","Erfurto g. 23","8 5 245 6690","rastine@minties.vilnius.lm.lt","www.vilniausminties.lt",,"6060676","577599",,,"School_type_mainstream"
11,"Vilniaus „Pelėdos” pradinė mokykla","Pelėdos pradinė mokykla","190016165","Taikos g. 97","+370 5 242 7001","rastine@peledos.vilnius.lm.lt","www.peledospradine.lt","6.45-18.45","6065682","578130",,,"School_type_mainstream,School_type_playschool"
