city,eldership,street,object_name,total_views,views_today,likes,price,price_sq,house_number,flat_number,area,rooms,floor,total_floors,year,object_type,building_type,heating,furnishing,energy_class,window_direction,qualities,facilities,equipment,security,object_id,distance_kindergarden,distance_school,distance_bus_stop,distance_shop,crimes,no2,kd10,time_cathedral,time_train_station,time_shopping_center,time_kirtimai,distance_cathedral,distance_train_station,distance_shopping_center,distance_kirtimai,description,contact,latitude,longitude
Vilnius, Naujoji Vilnia, Pramonės g., 1 kambario poilsio patalpa,24453,48,116,41900,1496,107,,28.0,1,4,4,1970,"Patalpa, poilsio paskirtis",Mūrinis,Elektra,Įrengtas,,Pietūs,Nauja kanalizacija Nauja elektros instaliacija Internetas Virtuvė sujungta su kambariu,,Kondicionierius Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Viryklė Dušo kabina,Šarvuotos durys Kodinė laiptinės spyna Vaizdo kameros,,480,640,250,780,,,,23.5,21.0,29.5,43.0,11.4,10.8,11.9,29.3,"Parduodamas studijos tipo būstas Pramonės g. 107.
Patalpos parduodamos su baldais ir buitine technika.
Šildymas ir šaldymas (LABAI AKTUALU VASARĄ) oras-oras šilumos siurbliu, karštas vanduo gaminamas boileriu.
Sienos - tapetai, grindys - laminatas, lubos - įtempiamos.
Atvestas naujas elektros įvadas, stovi ESO skaitiklis.
Suremontuota laiptinė, įėjimas su kodine spyna.
Namo prieigos ir laiptinė dėl saugumo stebimos vaizdo kameromis.
Nėra didelių problemų su automobilių stovėjimu, be to, šalia namo yra autobusų stotelė.
Galima deklaruoti gyvenamąją vietą.
Svarstytina ir galimybė parduoti išperkamąja nuoma.
Atkreipkite dėmesį į prie skelbimo kaip nuotrauką prisegtą žemėlapį. Jame nurodyta tiksli parduodamo turto vieta.

NT BROKERIAMS - prašau kreiptis į mane tik jei turite konkretų klientą, ieškantį panašaus nekilnojamojo turto.",+37064402408,54.693492,25.430040
Vilnius, Naujoji Vilnia, A. Kojelavičiaus g., 5 kambarių butas,5649,19,20,140000,1477,125,3,94.76,5,1,2,1940,,Mūrinis,"Elektra, dujinis",Įrengtas,,,Atskiras įėjimas Tualetas ir vonia atskirai Nauja kanalizacija,,Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Viryklė Dušo kabina,,,830,11,110,620,1,,,20.0,17.0,26.0,41.0,9.7,9.1,10.3,24.8,"Parduodamas investicinis objektas kartu su nuomininkais.

Butas yra mūriniame lentelėmis apkaltame name. 94m2 butas su atskiru įėjimu, padalintas į 5 atskirus, pilnai įrengtus kambarius, du vonios kambariai su wc, atskira virtuvė su valgomuoju. Šiuo metu nuomojama statybų kompanijai kaip visas objektas. Nuomojant kambariais būtų galima didesnė grąža.
Žinoma, Nauja Vilnia is the new black - čia keliasi daug jaunimo, alernatyvių veiklų ir verslų. Nuostabus susisiekimas su senamiesčiu (vos 7 minutės iki Paupio). Prognozuojamas NT turto vertės kilimas visoje Naujojoje Vinioje.

Šiuo metu šildoma elektiniais radiatoriais, tačiau kiti butai šildosi dujomis, tad yra galimybė nesudėtingai įsirengti dujas,

Butui priklauso 5,5 aro žemės sklypo (iš 12,47a,). Pagal naujajį miesto planą, čia galima vystyti daugiabučius, tad supirkus butus iš kaimynų galima išvystyti apie 700-800 m2 daugiabutį. Net jei nevystysite patys, atetyje galėsite brangiai parduoti vystytojams.

Šiuo metu tvarkoma A. Kojelavičiaus gatvė. Atnaujinami šaligatviai, apšvietimas, asfaltas. Netoliese planuojami 2 nauji daugiabučiai.",+370 699 52736,54.694680,25.399667
Vilnius, Naujoji Vilnia, Parko g., 1 kambario butas,18047,31,41,36000,1765,48,,20.4,1,4,5,1976,,Mūrinis,Centrinis,Įrengtas,G,,Tualetas ir vonia atskirai Virtuvė sujungta su kambariu,,Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Dušo kabina,Kodinė laiptinės spyna,,170,140,170,140,,,,26.5,23.5,32.5,38.5,11.8,11.2,12.3,28.1,"Vilnius, Naujoji Vilnia, Parko g.
1 k.,20,4 m2 bendras plotas, 4 aukštai iš 5.
Kaina 36000€.

Skubiai parduodamas 1 kambario butas Naujojoje Vilnioje, Parko g. 48, mūriniame bendrabučio tipo name. Bendrame koridoriuje yra tik 7 butai, kurioje yra bendra virtuvė ir dušas. Butas šviesus, šiltas (ne kampinis), parduodamas su baldais ir buitine technika, WC ir dušas atskirai, naudojamas, kartu tik su vienu kaimynu. Šiam bute galima iš karto gyventi. Tinkamas gyventi ir investicijai.

NT Brokerių paslaugos nepageidaujamos.

PIRKĖJŲ DĖMESIUI:

SKELBIAMA KALĖDINĖ 2000 EURŲ NUOLAIDA LAIKOTARPIUI NUO 2025-11-15 IKI 2025-12-23 IMTINAI.
JEI PER ŠĮ LAIKOTARPĮ NUSIPIRKSITE ARBA BENT REZERVUOSITE, JUMS KAINUOS TIK 34000 EURAI.

--PRIVALUMAI--

• Butas šviesus, šiltas, langai pietų kryptimi;
• Nedideli šildymo, vandens ir komunalinių paslaugų mokesčiai;
• Langas plastikinis;
• Aplink daug žalumos: Gerovės parkas, upė Vilnelė;
• Tvarkinga laiptinė, kodinė laiptinės spyna;
• Rakinamos lauko ir koridorių durys;
• Kieme vaikų žaidimo aikštelė, automobilių stovėjimo aikštelė;
• Strategiškai puiki vieta: šalia mokyklos, vaikų darželiai, parduotuvės, turgus, bažnyčia, vaistinės.
• Netoliese autobusų stotelė, iš kurios važiuoja 8 autobusai įvairiais maršrutais;

--BENDRA INFORMACIJA--

• Pastato tipas – mūrinis;
• Statybos metai – 1976;
• Aukštas – 4/5;
• Kambarių sk. – 1;
• Bendras plotas – 20,4 m2 (tame tarpe 12m2 kambarys, pusė prieškambario (2,4m2 iš 4,8m2) ir 6 m2 bendros virtuvės);
• Šildymas – centrinis;

--INFRASTRUKTŪRA--

• Puikiai išvystyta infrastruktūra: netoliese mokyklos, darželiai, poliklinika, policija, parduotuvės (NORFA, IKI, MAXIMA, LIDL, MOKI VEŽI), turgelis.
• Greitas susisiekimas su centru tiek važiuojančiu autotransportu, traukiniu, bei automobiliu;
• Netoliese Gerovės parkas, teka upė Vilnelė (pasivaikščiojimo takai, paplūdimys), Rokantiškių piliakalnis, Pavilnių regioninis parkas (pažintiniai takai).",+370 666 49772,54.687064,25.426335
Vilnius, Žvėrynas, Traidenio g., 4 kambarių butas,11634,28,54,690000,5036,,,137.0,4,5,6,1989,,Blokinis,Dujinis,Įrengtas,,,Butas per kelis aukštus,Rūsys Vieta automobiliui Drabužinė,Dušo kabina Vonia,Šarvuotos durys Kodinė laiptinės spyna,,10,280,170,350,,,,12.0,14.5,8.5,27.0,2.5,4,2.7,13.7,"NAUJA KAINA
""Stilingas būstas šalia Vingio parko""

Prestižiniame Žvėryno rajone, šalia Vingio parko, išskirtinės architektūros name parduodamas stilingai įrengtas keturių kambarių butas.

Parduodami apartamentai yra išsidėstę viršutiniuose - penktame ir šeštame namo aukštuose. Pirmajame buto lygyje suplanuotas holas, svetainė sujungta su virtuve, vonios kambarys bei drabužinės. Pakilus į antrąjį buto aukštą rasime pagrindinį miegamąjį su drabužine, vaiko kambarį bei darbo kambarį, kuris, esant poreikiui, gali virsti dar vienu miegamuoju.

Parduodamas būstas yra labai jaukus, šviesus, pasižymi dideliais ir kokybiškais langais. Apartamentai buvo naujai ir kokybiškai įrengti prieš keletą metų, tad jų būklė puiki.

Butui priklauso didelis 18 kv.m rūsys bei viena automobilio parkavimo vieta uždarame kieme.

Parduodama su integruotais baldais ir integruota buitine technika.",+370 687 22220,54.690532,25.249142
Vilnius, Fabijoniškės, Liongino Baliukevičiaus-Dzūko g., 6 kambarių butas,12837,17,56,450000,1928,,,233.38,6,1,3,"1993 statyba, 2011 renovacija",,Monolitinis,Dujinis,Įrengtas,,,Internetas Aukštos lubos Butas per kelis aukštus Kabelinė televizija,Balkonas Terasa Rūsys Drabužinė,Su baldais Kondicionierius Skalbimo mašina Vonia,Šarvuotos durys Signalizacija,,490,490,100,370,2,123,19.23,25.5,29.0,20.0,30.5,7.7,9.2,5.9,18.6,"Fabijoniškių mikrorajone, L. Giros g. parduodamas puikaus stovio namas/kotedžas su nuosavu 3,17 a. sklypu. Sklypas pilnai aptvertas ir apželdintas - visiškas privatumas pačiame mieste!
BENDRA INFORMACIJA:
- Namo statybos metai: 1993 m.;
- Renovuotas namas;
- Šiemet naujai pakeistas stogas;
- Namo tipas: monolitas;
- Bendras plotas: 233,38 kv.m. (+ garažas 27 kv.m. + rūsys esantis po garažu);
- Kambarių skaičius: 6;
- Aukštų skaičius: 3 ( + rūsys );
- Šildymo tipas: dujomis (rūsyje ir pirmame aukšte - grindinis, antrame ir trečiame aukšte - radiatoriai;
PRIVALUMAI:
- Grindinis šildymas reguliuojamas zonomis;
- Kiekviename vonios kambaryje yra išvedžiotas elektrinis grindinis šildymas;
- Kondicionieriai (pirmame ir antrame aukšte);
- Įrengtos vandens filtravimo ir minkštinimo sistemos;
- Visame kotedže išvedžiota rekuperacijos sistema;
- Įmontuota garso aparatūra ,,BOSE“ rūsyje ir pirmame aukšte;
- Palydovinė televizija;
- Yra pirtis;
- Bendruomeniška ir iniciatyvi kaimynystė;
- Namas patogiai išplanuotas, moderniai įrengtas;
- Trys erdvūs balkonai;
- Domofonas su video funkcija:
- Paskutinis namas gatvėje (akligatvis);
- Patogus ir greitas susisiekimas su Vilniaus miestu.
GERBŪVIS:
- Atskiras garažo pastatas kieme (įvažiavimas iš vidinės gatvės, išėjimas į vidinį kiemą);
- Taisyklingas 3,17 arų sklypas (aptvertas tvora bei apželdintas tujomis, nesigirdi gatvės triukšmo, nesimato kaimynų, visiškai privatus kiemas);
- Dalis kiemo grįsta trinkelėmis;
- Automatiškai išsiskleidžiantis tentas (pavėsine);
- Žolės laistymo sistema kieme;
- Automatiniai vartai į kiemą bei garažą;
IŠPLANAVIMAS:
Pirmas aukštas:
- 32 kv. m. svetainė;
- 19 kv. m. virtuvė;
- 13,79 kv. m. koridorius;
- 3,15 kv. m. sanmazgas;
- 1,98 kv. m. tambūras;
- terasa;
Antras aukštas:
- 30,39 kv. m. miegamasis su sanmazgu (dušas + WC);
- 20,44 kv. m. kambarys;
- 8,44 kv. m. koridorius;
- 5,04 kv. m. sanmazgas ir džiakuzi;
- balkonas;
Trečias aukštas:
- 31,65 kv. m. svečių kambarys;
- 10,90 kv. m. kabinetas;
- 1,35 kv. m. patalpa;
Cokolinis aukštas:
- 32 kv. m. biliardinė;
- 16 kv. m. pirtis;
- 4,26 kv. m. katilinė,
- 7,37 kv. m. laiptinė;
- 4,29 kv. m. koridorius;
- 5,04 kv. m. WC,
- 1,86 kv. m. patalpa;
VIETA:
- Išvystyta namų gyvenvietė, sparčiai modernizuojama;
- Apšviestos ir asfaltuotos gatvės;
- Saugi aplinka;
SUSISIEKIMAS:
~ 8,6 km iki Vilniaus miesto centro;
~ 600 m iki artimiausios parduotuvės;
~ 800 m iki Prekybos centro „Mandarinas“;
~ 800 m iki artimiausios mokyklos;
~ 300 m iki artimiausio darželio;
~ 100 m iki artimiausios autobusų stotelės. Visus naujausius CAPITAL nekilnojamojo turto skelbimus rasite mūsų internetiniame puslapyje www.capital.lt. Kviečiame apsilankyti!",+370 637 07311,54.734687,25.248883
Vilnius, Šnipiškės, Krokuvos g., 1 kambario butas,7244,24,16,50000,1749,,,28.59,1,1,1,1940,,Medinis,Kita,Neįrengtas,,,,,,,,30,480,260,230,7,,,9.5,16.0,2.5,30.0,1.8,4,0.6,15.8,"Parduodamas 27,77 kv.m. butas labai patogioje miesto dalyje Krokuvos g.,patogus susisiekimas su visais Vilniaus mikrorajonais tiek nusavu, tiek visuomeniniu transportu,tai pat pėsčiomis per kelias minutes galima pasiekti miesto centrą,centrinę Kalvarijų turgavietę,aplinkui išsidėsčiusius prekybos centrus.Butui priklauso 0,54 aro žemės sklypas.",+370 663 97683,54.696846,25.282966
Vilnius, Senamiestis, Vokiečių g., 3 kambarių butas,3972,25,39,310000,4300,28,28,72.1,3,3,4,"1940 statyba, 1956 renovacija",,Mūrinis,Centrinis,Įrengtas,,,,,,,,110,70,300,100,,,,13.0,11.5,17.5,31.5,2.9,2.3,3.8,12.8,"PARDUODAMAS 3 KAMB. BUTAS VOKIEČIŲ G., SENAMIESTYJE

Butas yra viename seniausių išlikusių namų Vilniaus senamiestyje (pastatytas Žygimanto Augusto laikais, dovanotas Barborai Radvilaitei, priklausęs LDK, o vėliau Tyzenhauzams). Tai klasicistinio stiliaus pastatas, vadinamas Tyzenhauzų rūmais.

PRIVALUMAI:
• Aukštos lubos (3,65 m).
• Du miegamieji kambariai, langai į kiemą.
• Erdvi svetainė sujungta su virtuve.
• Vonia ir WC kartu.

BENDRA INFORMACIJA:
• Bendras buto plotas – 72,10 kv.m.
• Aukštas – 3 iš 4.
• Kambarių skaičius – 3.
• Statybos metai – 1956 m.
• Namo tipas – mūrinis.

ĮRANGA IR APDAILA
• Butas tvarkingas.
• Sienos – dažytos arba tapetuotos.
• Grindys – laminatas.
• Vonios kambaryje – plytelės.
• Langai – plastikiniai.
• Buto langai išeina į vidinį kiemą.
• Durys – šarvo.

KITA INFORMACIJA
• Šildymas – centrinis.
• Namo laiptinė – su kodine spyna.
• Parkavimas – vidiniame kieme arba Vokiečių g. su gyventojo leidimu.

INFRASTRUKTŪRA
• Visai šalia - Rotušės aikštė, keli vaikų darželiai, gydymo įstaigos, maisto parduotuvės.
• Netoliese viešojo transporto stotelės, geras susisiekimas su kitais Vilniaus miesto rajonais.",+370 663 91623,54.680436,25.282496
Vilnius, Naujininkai, Dubičių g., 3 kambarių butas,3316,16,15,199000,1809,,,110.0,3,1,3,"1995 statyba, 2005 renovacija",,Mūrinis,Dujinis,Įrengtas,A++,"Vakarai, pietūs",Aukštos lubos Butas per kelis aukštus Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Internetas Kabelinė televizija Virtuvė sujungta su kambariu,Sandėliukas Vieta automobiliui,Skalbimo mašina Su baldais Šaldytuvas Šildomos grindys Virtuvės komplektas Viryklė Plastikiniai vamzdžiai Indaplovė Dušo kabina Vonia Rekuperacinė sistema,Šarvuotos durys,,830,15,200,14,,,,30.5,19.0,30.0,14.0,8.9,5.6,11.3,10.5,,+370 663 92598,54.632741,25.246695
Vilnius, Senamiestis, Didžioji g., 2 kambarių butas,4686,12,154,450000,9554,,,47.1,2,2,4,"1860 statyba, 2004 renovacija",,Mūrinis,Centrinis,Įrengtas,,,Virtuvė sujungta su kambariu,,,,,120,170,150,160,4,,,12.0,8.0,16.5,30.5,2.6,1.4,3.5,12.5,"FOR SALE – EXCLUSIVE AND AUTHENTIC APARTMENTS IN THE CITY CENTER!

2 rooms (bedroom + living room and kitchen area) apartments in a very spectacular and prestigious area of Vilnius, nearby the Rotušė square. The Cathedral Square and plenty of high-quality restaurants, concert halls, boutiques, gyms, and cafés are within a short walking distance.

The building reflects exceptional architecture from XVIII century!


PROPERTY FEATURES
- Apartment area – 47.10 sq. m.;
- Rooms – 2;
- Floor – 2;
- Year of construction - 2004;
- House type: stone;
- Central heating;
- High-quality finishing, good equipment.
- Inner parking.

Please contact us for more information!


Parduodami išskirtiniai, prabangūs 47.10 kv. m., 2 kambarių apartamentai, alsuojantys XVII a. prabanga bei grožiu, Aušros vartų ir Etmonų g. sankirtoje – Didžiojoje g.!

BENDRA INFORMACIJA
- Buto plotas – 47.10 kv. m.;
- Statybos metai – XVIII amžiaus autentiška architektūra;
- Rekonstrukcijos metai – 2004 (pilnai pakeistos perdangos, stogas, vamzdynai, elektros instaliacijos);
- Namo tipas – mūrinis;
- Kambarių skaičius – 2;
- Aukštas 2/4.

IŠPLANAVIMAS
- Vienas miegamasis;
- Vonios kambarys;
- Svetainė su virtuve.

KITA INFORMACIJA
- Tvarkinga, prabangi ir prižiūrima laiptinė su granito laiptais;
- Stiklinis liftas;
- Marmuro plytelės ir kilimai hole;
- Sieninė tapyba koridoriuose;
- Istorinės restauruotos lubos;
- Privatus parkingas kieme;
- Negausi kaimynystė (tik 8 apartamentai).

VIETA
- Apartamentai įsikūrę vos už 350 metrų nuo Aušros Vartų ir 100 metrų nuo Rotušės aikštės;
- Šalia bažnyčia, teatrai, muziejai, geriausi restoranai.

Galbūt tai Jūsų svajonių namai?
Mes net neabejojame!
Užsukite ir įsitikinkite tuo patys!
_____________________
Tel. +370 650 57 965
ricardas.sablovskis@remax.lt
NT brokeris Ričardas Sablovskis
REMAX Future

Ketinate parduoti butą arba namą?
Mūsų kompanijos Pirkėjų duomenų bazė kas mėnesį pasipildo vidutiniškai 219 naujais pirkėjais.
Lauksiu Jūsų skambučio ir padėsiu parduoti ar išnuomoti Jūsų būstą.
Nesate tikri dėl savo finansinių galimybių? Mūsų partneriai Paskolų brokeriai „JG Group“ padės Jums rasti geriausią sprendimą! www.paskolu-brokeriai.lt.
www.untu.lt - Čia galite NEMOKAMAI sužinoti kiek vertas Jūsų būstas.",+370 650 57965,54.676779,25.288049
Vilnius, Naujamiestis, Savanorių pr., 2 kambarių butas,9694,29,51,225000,4327,18,,52.0,2,10,11,2014,,Mūrinis,Centrinis kolektorinis,Įrengtas,,"Vakarai, pietūs",Internetas Virtuvė sujungta su kambariu,Balkonas,Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Viryklė Dušo kabina,Šarvuotos durys Kodinė laiptinės spyna Vaizdo kameros,,110,350,70,200,,,,14.0,13.0,14.0,23.5,3,2.7,4.6,10.5,"Parduodamas labai jaukus dviejų kambarių 52 kv. m. butas (galima pertvarkyti i trijų) šalia Senamiesčio su įspūdingu panoraminiu miesto vaizdu. Butas labai šiltas ir šviesus. Visą dieną galima mėgautis saulės šviesa. Žiemą šildymo sąskaitos minimalios. Strategiškai labai patogi vieta. Aplinkui daug parduotuvių, mokyklų, vaikų darželių, kino teatras Forum Cinemas Vingis. Miesto centras ir Vingio parkas pasiekiami pėsčiomis. Puikus susisiekimas su Vilniaus miesto rajonais viešuoju ir nuosavu transportu.
Už papildomą kainą galima įsigyti parkavimo vietą.
Tarpininkų prašau neskambinti.",+370 663 94745,54.67664,25.254827
